num_genres,avg_rating,avg_revenue,line_thickness
1,5.808333333333334,13555745.75,13555745.75
2,6.456944444444445,125420795.6736111,125420795.6736111
3,6.691666666666666,20886553.92592592,20886553.92592592
4,6.809375,39753967.13194444,39753967.13194444
5,6.182083333333334,54893825.648611106,54893825.648611106
6,6.527962962962963,89475048.39143519,89475048.39143519
7,6.480376984126984,37966189.67876984,37966189.67876984
8,6.6355208333333335,32584061.519791663,32584061.519791663
9,6.6520370370370365,41616778.03580247,41616778.03580247
10,6.40621626984127,57759850.58545635,57759850.58545635
11,6.687008658008658,44855501.84441558,44855501.84441558
12,6.868543771043771,48677879.66759259,48677879.66759259
13,6.76128205128205,101771616.21474357,101771616.21474357
14,6.5494047619047615,48860466.54960317,48860466.54960317
15,7.56,301182543.1,301182543.1
18,7.072685185185185,27714694.828703705,27714694.828703705
